# neighbours,MAP,MAP
100,0.10792591982942339,0.10339900349590743
200,0.1115,0.11074
300,0.11150911335905145,0.11224199910519143
400,0.11048,0.11192
500,0.10948734342671736,0.11071720726509532
600,0.108968,0.11009
700,0.1080165439795189,0.10907026620639552
800,0.10702,0.10832
900,0.10614569115013482,0.10756567981091202
1000,0.10536,0.10672
1100,0.10457511443436268,0.10579228786600611
1200,0.1037,0.10481
1300,0.10312257744795389,0.1042342017786795
1400,0.10228,0.10345
1500,0.10167985927470873,0.10269
2000,0.09910731272094397,0.10004967088697539
2500,0.09738695510625449,0.09803288167283714
3000,0.09601383665522174,0.09671380248794548
